一不小心	yrt brt siu srm
亚洲太平洋经济合作组织	a zru tai pij yxj gij zri hrp zok zou zik
亚洲运动会	a zru wrn duj wui
亚洲电视	a zru din si
亚洲电视国际台	a zru din si guok zri toi
亚洲电视有限公司	a zru din si yru han guj si
亚洲电视本港台	a zru din si bun goj toi
亚爸	a ba
亚爷	a ye
亚狗亚猫	a gru a mau
亚生	a saj
亚皆老街	a gai lou gai
亚视	a si
亚福	a fuk
亚细	a sri
亚细安	a sri on
亚茂	a mru
亚谁	a sxi
亚头	a tru
亚驼	a to
亡命	moj mij
亡命徒	moj mij tou
亡国之音	moj guok zi yrm
亡戟得矛	moj gik drk mau
交代	gau doi
交叉	gau ca
交叉科学	gau ca fo hok
交吉	gau grt
交回	gau wui
交学费	gau hok fri
交带	gau dai
交心	gau srm
交投	gau tru
交换生	gau wun srj
交易	gau yik
交更	gau gaj
交水费	gau sxi fri
交界处	gau gai cv
交相辉映	gau sxj fri yij
交租	gau zou
交足功课	gau zuk guj fo
交通事故	gau tuj si gu
交通挤塞	gau tuj zri srk
交通灯	gau tuj drj
交通线	gau tuj sin
交通要道	gau tuj yiu dou
交通警	gau tuj gij
交通运输	gau tuj wrn sv
交关	gau guan
交际	gau zri
交际舞	gau zri mou
交响乐	gau hxj jok
亦可	yik ho
亦然	yik yin
亦舒	yik sv
亦都	yik dou
享有	hxj yru
享福	hxj fuk
京溪南方医院站	gij kri nam foj yi yvn zam
京都市	gij dou si
京都议定书	gij dou yi dij sv
亭亭	tij tij
亭子间	tij zi gan
亮光	lxj guoj
亮晶晶	lxj zij zij
亮红灯	lxj huj drj
人一世，物一世	yrn yrt sri mrt yrt sri
人一世物一世	yrn yrt sri mrt yrt sri
人仔	yrn zri
人仔细细	yrn zri sri sri
人伦	yrn lxn
人像	yrn zxj
人和	yrn wo
人和站	yrn wo zam
人哋	yrn dei
人嚟	yrn lri
人地	yrn dei
人地生疏	yrn dei srj so
人士	yrn si
人寿燕梳	yrn sru yin so
人多好做作	yrn do hou zou zok
人多手脚乱	yrn do sru gxk lvn
人夹人缘	yrn gap yrn yvn
人客	yrn hak
人山人海	yrn san yrn hoi
人工	yrn guj
人工受精	yrn guj sru zij
人影	yrn yij
人心惶惶	yrn srm woj woj
人心肉做	yrn srm yuk zou
人心隔肚皮	yrn srm gak tou pei
人急智生	yrn grp zi srj
人情	yrn cij
人情纸咁薄	yrn cij zi grm bok
人情薄过纸	yrn cij bok guo zi
人手	yrn sru
人才辈出	yrn coi bui cxt
人日	yrn yrt
人有三衰六旺	yrn yru sam sxi luk woj
人有我有	yrn yru jo yru
人板	yrn ban
人比人，比死人	yrn bei yrn bei sei yrn
人民力量	yrn mrn lik lxj
人民英雄	yrn mrn yij huj
人气急升	yrn hei grp sij
人满之患	yrn mun zi wan
人无千日好	yrn mou cin yrt hou
人无千日好，花无百日红	yrn mou cin yrt hou ，fa mou bak yrt huj
人版	yrn ban
人瑞	yrn sxi
人生	yrn srj
人生地不熟	yrn srj dei brt suk
人生观	yrn srj gun
人尽可夫	yrn zxn ho fu
人神共愤	yrn srn guj frn
人穷志不穷	yrn kuj zi brt kuj
人细鬼大	yrn sri guri dai
人羣	yrn qurn
人老精，鬼老灵	yrn lou zej ，guri lou lej
人老精鬼老灵	yrn lou zej guri lou lej
人声	yrn sej
人肉炸弹	yrn yuk za dan
人蠢冇藥医	yrn cxn mou yxk yi
人讲你又讲	yrn goj nei yru goj
人办	yrn ban
人造皮	yrn zou pei
人造卫星	yrn zou wri sij
人道	yrn dou
人际关系	yrn zri guan hri
人面	yrn min
人面桃花	yrn min tou fa
人头	yrn tru
人头涌涌	yrn tru yuj yuj
人头猪脑	yrn tru zv nou
什物	zap mrt
仁心	yrn srm
仁济医院	yrn zri yi yvn
仁兽	yrn sru
仁者无敌	yrn ze mou dik
仄纸	zrk zi
仆你个街	buk nei go gai
仆嚫	puk crn
仆直	buk zik
仆街	puk gai
仆街仔	buk gai zi
仆转	puk zvn
仇口	sru hru
仇家	sru ga
仇杀	sru sat
仇视	sru si
今个月	grm go yvt
今匀	grm wrn
今宵	grm siu
今届	grm gai
今日	grm yrt
今时唔同往日	grm si m tuj woj yrt
今晚打老虎	grm man da lou fu
今晚黑	grm man hrk
今朝	grm ziu
今朝早	grm ziu zou
今次	grm ci
今铺	grm pou
介乎	gai fu
介绍人	gai siu yrn
介绍信	gai siu sxn
仔乸	zri na
仔仔	zri zri
仔大仔世界	zri dai zri sri gai
仔女	zri nxi
仔孙	zi svn
仔爷	zri ye
仔细	zi sri
仔细女嫩	zri sri nxi nvn
仔细老婆嫩	zri sri lou po nvn
仕进	si zxn
他他条条	ta ta tiu tiu
他们的	ta mun dik
他心	ta srm
他方	ta foj
他日	ta yrt
他朝	ta ziu
他条	ta tiu
他的	ta dik
付息	fu sik
付排	fu pai
仙台市	sin toi si
仙女	sin nxi
仙屎	sin si
仙都唔仙吓	sin dou m sin ha
代代平安	doi doi pij on
代理	doi lei
代言人	doi yin yrn
代办所	doi ban so
令人难忘	lij yrn nan moj
令到	lij dou
令嫒	lij oi
以上	yi sxj
以下	yi ha
以不变应万变	yi brt bin yij man bin
以来	yi loi
以假乱真	yi ga lvn zrn
以偏概全	yi pin koi cvn
以己度人	yi gei dok yrn
以巴冲突	yi ba 衝:cuj drt
以后	yi hru
以心为心	yi srm wri srm
以怨报德	yi yvn bou drk
以攻为守	yi guj wri sru
以理服人	yi lei fuk yrn
以耳代目	yi yi doi muk
以致	yi zi
以资	yi zi
以身作则	yi srn zok zrk
以近	yi krn
以远	yi yvn
以点带面	yi dim dai min
仰观	yxj gun
仲系	zuj hri
仲兼	zuj gim
仲好	zuj hou
仲春	zuj cxn
仲有	zuj yru
仲未	zuj mei
仳离	pei lei
仵作佬	j zok lou
件件	gin gin
件头	gin tru
任丘	yrm yru
任何人	yrm ho yrn
任剑辉	yrm gim fri
任贤齐	yrm yin cri
任食	yrm sik
份人	frn yrn
份外	frn joi
企人边	kei yrn bin
企位	kei wri
企堂	kei toj
企定	kei dij
企业形象	kei yip yij zxj
企业文化	kei yip mrn fa
企歪啲	kei me di
企理	kei lei
企硬	kei jaj
企立	kei lap
企缸	kei goj
企街	kei gai
企起身	kei hei srn
企身	kei srn
企身煲	kei srn bou
企领	kei lej
伊利沙伯医院	yi lei sa bak yi yvn
伊利近街	yi lei grn gai
伊士	yi si
伊府面	yi fu min
伊挹	yi yrp
伊捞七	yi lau crt
伊斯兰教	yi si lan gau
伊朗伊斯兰共和国	yi loj yi si lan guj wo guok
伊波拉病毒	yi bo lai bej duk
伊面	yi min
伏低	buk dri
伏儿人	fuk yi yrn
伏匿匿	buk nei nei
休养所	yru yxj so
休息	yru sik
休息时间	yru sik si gan
休憩	yru hei
休戚	yru cik
休眠	yru min
休闲	yru han
伙房	fo foj
伙记	fo gei
伙头	fo tru
伙头君	fo tru gurn
伙头坟洲	fo tru frn zru
伙头军	fo tru gurn
伢伢仔	ja ja zri
伯公	bak guj
伯娘	bak nxj
伯婆	bak po
伯母	bak mou
伯爵茶	bak zxk ca
伯爷	bak ye
伯爷公	bak ye guj
伯爷婆	bak ye po
伯牙	bak ja
估吓	gu ha
估唔到	gu m dou
估计	gu gri
伴儅	bun doj
伸展	srn zin
伸张正义	srn zxj zij yi
似层层	ci crj crj
似模似样	ci mou ci yxj
似样	ci yxj
似水流年	ci sxi lru nin
似足	ci zuk
但系	dan hri
但凡	dan fan
布置	bou zi
布设	bou cit
位址	wri zi
位置	wri zi
位能	wri nrj
低B	dri bi
低B仔	dri bi zri
低人一等	dri yrn yrt drj
低位	dri wri
低威	dri wri
低年级	dri nin krp
低微	dri mei
低于	dri yv
低格	dri gak
低波	dri bo
低声下气	dri sej ha hei
低能儿童	dri nrj yi tuj
低腰裤	dri yiu fu
低贱	dri zin
低音吉他	dri yrm grt ta
低音结他	dri yrm git ta
低头不语	dri tru brt yv
低头切肉，把眼看人	dri tru cit yuk ，ba jan hon yrn
低飞	dri fei
住喺	zv hri
住埋	zv mai
住宅单位	zv zak dan wri
住客会所	zv hak wui so
住家工	zv ga guj
住家男人	zv ga nam yrn
住家菜	zv ga coi
住年妹	zv nin mui
住月	zv yvt
佐敦	zo dxn
佐敦谷	zo dxn guk
佐敦道	zo dxn dou
佐理	zo lei
佐贺县	zo ho yvn
占地	zim dei
占领中环	zim lij zuj wan
何B仔	ho bi zri
何以	ho yi
何来	ho loi
何俊仁	ho zxn yrn
何其	ho kei
何妨	ho foj
何德何能	ho drk ho nrj
何文田	ho mrn tin
何时何地	ho si ho dei
何止	ho zi
何良	ho lxj
何超仪	ho ciu yi
何足挂齿	ho zuk gua ci
何韵诗	ho wrn si
何鸿燊	ho huj srn
佗仔	to zri
佗手㨢脚	to sru nrj gxk
佗手褦脚	to sru nrj gxk
佗枪	to cxj
佗炮	to pau
佗累	to lxi
佗衰	to sxi
佗衰家	to sxi ga
佗铁	to tit
佘诗曼	se si man
佛庙	frt miu
佛手	frt sru
佛手柑	frt sru grm
佛诞	frt dan
佛都有火	frt dou yru fo
作供	zok guj
作价	zok ga
作动	zok duj
作反	zok fan
作图	zok tou
作大	zok dai
作官	zok gun
作怪	zok guai
作恶多端	zok ok do dvn
作成	zok sij
作梗	zok grj
作死	zok sei
作法自毙	zok fat zi bri
作渴	zok hot
作牙	zok ja
作状	zok zoj
作福	zok fuk
作美	zok mei
作词	zok ci
作诗	zok si
作贼心虚	zok cak srm hxi
作贱	zok zin
作贱自己	zok zin zi gei
作赛	zok coi
作陪	zok pui
作雨	zok yv
佞人	nij yrn
佞臣	nij srn
你们的	nei mun dik
你做初一，我做十五	nei zou co yrt ，jo zou srp j
你做初一我做十五	nei zou co yrt jo zou srp j
你先	nei sin
你哋	nei dei
你哋嘅	nei dei ge
你哋自己	nei dei zi gei
你啲人	nei di yrn
你嘅	nei ge
你地	nei dei
你好吗	nei hou ma
你好嘢	nei hou ye
你就想	nei zru sxj
你有张良计，我有过墙梯	nei yru zxj lxj gri ，jo yru guo cxj tri
你东我西	nei duj jo sri
你的	nei dik
你自己	nei zi gei
你谂你	nei nrm nei
渠哋	kxi dei
渠哋嘅	kxi dei ge
渠哋自己	kxi dei zi gei
渠嘅	kxi ge
渠地	kxi dei
佯攻	yxj guj
佯死	yxj sei
佯称	yxj cij
佳偶天成	gai jru tin sij
佳音	gai yrm
并存	bij cvn
佼佼	gau gau
使乜	sri mrt
使乜讲	sri mrt goj
使到	sri dou
使命感	si mij grm
使唔使	sri m sri
使女	si nxi
使婆	si po
使妈	si ma
[]	sri lei
使橫手	sri waj sru
使牛	si jru
使用手册	si yuj sru cak
使脾气	sri pei hei
使费	sri fri
使铜银夹大声	sri tuj jrn gap dai sej
使钱	sri cin
使颈	sri gej
侄仔	zrt zri
侄妇	zrt fu
侄心抱	zrt srm pou
来世	loi sri
来之不易	loi zi brt yi
来人	loi yrn
来势	loi sri
来料加工	loi liu ga guj
来檬	loi muj
来历	loi lik
来源	loi yvn
来者	loi ze
来说是非者，便是是非人	loi svt si fei ze ，bin si si fei yrn
来路	loi lou
来路嘢	loi lou ye
来路货	loi lou fo
来头	loi tru
例水	lri sxi
例汤	lri toj
例牌	lri pai
例牌菜	lri pai coi
例规	lri quri
侍仔	si zri
侍应	si yij
侍应生	si yij srj
侗族	duj zuk
供应	guj yij
供应量	guj yij lxj
供书教学	guj sv gau hok
供桌	guj cxk
供楼	guj lru
供款	guj fun
依家	yi ga
依据	yi gxi
依时	yi si
依时依候	yi si yi hru
依牙松杠	yi ja suj guj
依牙松钢	yi ja suj goj
依足	yi zuk
依郁	yi yuk
侯斯顿	hru si dxn
侵攻	crm guj
侵早	crm zou
侵犯	crm fan
侵犯版权	crm fan ban kvn
侵略战争	crm lxk zin zrj
侵蚀	crm sik
侵越	crm yvt
侵食	crm sik
便宜	pin yi
便服	bin fuk
便衣兵	bin yi yi bij
便饭	bin fan
系乜系物	hri mrt hri mrt
系人都知	hri yrn dou zi
系呀	hri a
系咁大	hri grm dai
系咁意	hri grm yi
系咪	hri mri
系咪先	hri mri sin
系唔系	hri m hri
系啦	hri la
系㖞	hri wo
系啖	hri grm
系啖先	hri grm sin
系啖意	hri grm yi
系威系势	hri wri hri sri
系就系	hri zru hri
系要	hri yiu
系路	hri lou
促使	cuk si
促进	cuk zxn
俄罗斯联邦国歌	jo lo si lvn boj guok go
俊逸	zxn yrt
俗不可耐	zuk brt ho noi
俗例	zuk lri
俗品	zuk brn
俗语	zuk yv
俗骨	zuk gurt
俘虏	fu lou
保你大	bou nei dai
保健食品	bou gin sik brn
保加利亚人	bou ga lei a yrn
保加利亚语	bou ga lei a yv
保姆车	bou mou ce
保存期	bou cvn kei
保安局	bou on guk
保安费	bou on fri
保密	bou mrt
保持中立	bou ci zuj lap
保持者	bou ci ze
保温杯	bou wrn bui
保育员	bou yuk yvn
保荐	bou zin
保卫	bou wri
保证书	bou zij sv
保护装置	bou wu zoj zi
保护费	bou wu fri
保障	bou zxj
保险公司	bou him guj si
保险业	bou him yip
保险金	bou him grm
保饭碗	bou fan wun
保养朞	bou yxj kei
保养证	bou yxj zij
保鲜	bou sin
信不信由你	sxn brt sxn yru nei
信仰	sxn yxj
信史	sxn si
信和中心	sxn wo zuj srm
信德中心	sxn drk zuj srm
信心爆棚	sxn srm bau paj
信息产业	sxn sik can yip
信息高速公路	sxn sik gou cuk guj lou
信手拈来	sxn sru nim loi
信物	sxn mrt
信用咭	sxn yuj kat
信皮	sxn pei
信箱	sxn sxj
信肉	sxn yuk
信号弹	sxn hou dan
信号枪	sxn hou cxj
信邪	sxn ce
修建	sru gin
修整	sru zij
修桥整路	sru kiu zij lou
修桥补路	sru kiu bou lou
修理工	sru lei guj
修补	sru bou
修订	sru dij
修身养性	sru srn yxj sij
修游	sru yru
修道士	sru dou si
修配	sru pui
俯拾即是	fu srp zik si
俹簁	na sri
俾心机	bei srm gei
俾钱	bei cin
俾面	bei min
仓底货	coj dri fo
仓颉输入法	coj kit sv yrp fat
个人卫生	go yrn wri srj
个半	go bun
个㖞	go wa
个噃	go bo
个罗	go lo
个自	go zi
个阵	go zrn
个体	go tri
倒冧	dou lrm
倒吊冇滴墨水	dou diu mou dik mrk sxi
倒吊沙煲	dou diu sa bou
倒吊荷包	dou diu ho bau
倒垃圾	dou lap sap
倒塔咁早	dou tap grm zou
倒夜香	dou ye hxj
倒屎	dou si
倒屎咁早	dou si grm zou
倒后镜	dou hru gej
倒掟	dou dej
倒掟头	dou dej tru
倒模	dou mou
倒水	dou sxi
倒汗水	dou hon sxi
倒泻	dou se
倒泻箩蟹	dou se lo hai
倒牙	dou ja
倒瓤	dou noj
倒瓤冬瓜	dou noj duj gua
倒眼	dou jan
倒灶	dou zou
倒米	dou mri
倒米寿星	dou mri sru sij
倒翻转	dou fan zvn
倒茶	dou ca
倒褪	dou trn
倒转头	dou zvn tru
倔尾龙	gurt mei luj
倔强	gurt kxj
倔情	gurt cij
倔擂槌	gurt lxi cxi
倔檑槌	gurt lxi cxi
倔笃	gurt duk
倔头	gurt tru
倔头巷	gurt tru hoj
倔头路	gurt tru lou
幸免	hrj min
候命	hru mij
候教	hru gau
候机室	hru gei srt
候镬	hru wok
倚傍	yi boj
倚凭	yi prj
倚老卖老	yi lou mai lou
借一借	ze yrt ze
借借	ze ze
借咗聋耳陈只耳	ze zo luj yi crn zek yi
借问声	ze mrn sej
借啲意	ze di yi
借尿遁	ze niu dxn
借屎遁	ze si dxn
借意	ze yi
借书	ze sv
借歪	ze me
借歪啲	ze me di
借壳	ze hok
借水遁	ze sxi dxn
借花敬佛	ze fa gij frt
借鉴	ze gam
借开	ze hoi
借头借路	ze tru ze lou
倦容	gvn yuj
伦敦金属交易所	lxn dxn grm suk gau yik so
伦比	lxn bei
伦滘糕	lxn gau gou
伦理	lxn lei
值回票价	zik wui piu ga
倾偈	kij gri
假使间	ga si gan
假假哋	ga ga dei
假假地	ga ga dei
假单	ga dan
假期	ga kei
假膊	ga bok
偈油	gri yru
伟大	wri dai
偏帮	pin boj
偏门	pin mun
做七	zou crt
做世界	zou sri gai
做乜	zou mrt
做乜嘢	zou mrt ye
做人	zou yrn
做人世	zou yrn sri
做低	zou dri
做冬	zou duj
做到气咳	zou dou hei krt
做功课	zou guj fo
做咗人猪仔	zou zo yrn zv zri
做咩	zou me
做唔切	zou m cit
做嘢	zou ye
做大戏	zou dai hei
做好	zou hou
做好做丑	zou hou zou cru
做好心	zou hou srm
做妥	zou to
做媒	zou mui
做得	zou drk
做忌	zou gei
做惯乞儿懒做官	zou guan hrt yi lan zou gun
做成	zou sij
做手信	zou sru sxn
做手脚	zou sru gxk
做把戏	zou ba hei
做收钱	zou sru cin
做数	zou sou
做朋友	zou prj yru
做东	zou duj
做瓜	zou gua
做生不如做熟	zou srj brt yv zou suk
做百罗	zou bak lo
做磨心	zou mo srm
做义工	zou yi guj
做老衬	zou lou crn
做庄	zou zoj
做贼	zou cak
做运动	zou wrn duj
做丑人	zou cru yrn
做骚	zou sou
做鬼做马	zou guri zou ma
做鬼都唔灵	zou guri dou m lij
做龟公	zou guri guj
停低	tij dri
停口	tij hru
停学	tij hok
停定	tij dij
停止	tij zi
停泊	tij pak
停滞	tij zri
停火协定	tij fo hip dij
停火协议	tij fo hip yi
停牌	tij pai
停留	tij lru
停留时间	tij lru si gan
停经	tij gij
停薪	tij srn
停车	tij ce
停车位	tij ce wri
停车标志	tij ce biu zi
健全	gin cvn
健力士世界纪录	gin lik si sri gai gei luk
健在	gin zoi
健将	gin zxj
健步	gin bou
健美	gin mei
健身操	gin srn cou
逼人	bik yrn
侧便	zrk bin
侧侧膊	zrk zrk bok
侧侧膊唔多觉	zrk zrk bok m do gok
侧向	zrk hxj
侧击	zrk gik
侧泳	zrk wij
侧田	zrk tin
侧线	zrk sin
侧翼	zrk yik
侧膊	zrk bok
侧记	zrk gei
侧跟	zrk grn
侧身	zrk srn
侧近	zrk grn
侧边	zrk bin
侦探小说	zij tam siu svt
偶像化	jru zxj fa
偶像崇拜	jru zxj suj bai
偶发	jru fat
偷呃拐骗	tru rk guai pin
偷嘢	tru ye
偷师	tru si
偷步	tru bou
偷渡客	tru dou hak
偷睇	tru tri
偷薄	tru bok
偷走	tru zru
偷越	tru yvt
偷车	tru ce
偷钱	tru cin
偷鸡	tru gri
偷鸡唔到食揸米	tru gri m dou sit za mri
偷食	tru sik
偷食唔抹嘴	tru sik m mat zxi
偷龙转凤	tru luj zvn fuj
傀儡政府	fai lxi zij fu
傅颖	fu wij
傍友	boj yru 
傍家	poj ga
傍水	boj sxi
杰志	git zi
伧鸡	caj gri
伧鸡婆	caj gri po
伞帐	san zxj
傢俬	ga si
傢俬铺	ga si pou
傢俬杂物	ga si zap mrt
傣族	tai zuk
[]	wu dri
催化裂化	cxi fa lit fa
催命符	cxi mej fu
催命鬼	cxi mej guri
催妆	cxi zoj
催穀	cxi guk
佣金	yuj grm
传信	cvn sxn
传信鸽	cvn sxn grp
传奇	cvn kei
传授	cvn sru
传播	cvn bo
传播媒介	cvn bo mui gai
传播媒体	cvn bo mui tri
传播学	cvn bo hok
传统	cvn tuj
传统教育	cvn tuj gau yuk
传统观念	cvn tuj gun nim
传经送宝	cvn gij suj bou
传说	cvn svt
传送	cvn suj
传递	cvn dri
伛偻	yv lru
债仔	zai zri
债务国	zai mou guok
伤害	sxj hoi
伤心	sxj srm
伤风	sxj fuj
傻事	so si
傻人	so yrn
傻仔	so zri 
傻仔水	so zi sxi
傻佬	so lou
傻傻哋	so so dei
傻傻戆戆	so so joj joj
傻女	so nxi
傻妹	so mui
傻婆	so po
傻更	so gaj
傻更更	so grj grj
傻瓜机	so gua gei
傻猪	so zv
傻閪	so hri
傻鸡	so gri
倾世界	kij sri gai
倾力	kij lik
倾唔埋	kij m mai
倾唔埋栏	kij m mai lan
倾密偈	kij mrt gri
倾得埋	kij drk mai
倾心	kij srm
倾掂	kij dim
倾斜	kij ce
倾斜角	kij ce gok
倾计	kij gri
倾铃哐啷	kij lij koj loj
倾间偈	kij han gri
倾电话	kij din wa
仅仅	grn grn
仅次于	grn ci yv
僆仔	lej zri
僆女	lej nxi
僆妹	lej mui
僆模	lej mou
象是	zxj si
侨汇	kiu wui
侨眷	kiu gvn
侨领	kiu lij
仆从	buk cuj
僚属	liu suk
僭建	cim gin
僭建屋	cim gin uk
雇主	gu zv
雇佣	gu yuj
雇佣兵	gu yuj bij
雇员	gu yvn
价值规律	ga zik quri lxt
价钱牌	ga cin pai
仪器	yi hei
仪容	yi yuj
仪态万方	yi tai man foj
儆惜	gij sik
俭朴	gim pok
儒林	yv lrm
儒艮	yv grn
侪哗哗	cai wa wa
优先权	yru sin kvn
优先发展	yru sin fat zin
优胜	yru sij
优胜者	yru sij ze
优化组合	yru fa zou hrp
优客李林	yru hak lei lrm
优惠	yru wri
优惠价	yru wri ga
优惠待遇	yru wri doi yv
优生	yru srj
优越感	yru yvt grm
储值	cv zik
储值票	cv zik piu
储备基金	cv bei gei grm
儲备量	cv bei lxj
储埋	cv mai
储存	cv cvn
储物室	cv mrt srt
储蓄存款	cv cuk cvn fun
储蓄所	cv cuk so
储蓄银行	cv cuk jrn hoj
储蓄额	cv cuk jak
储邮票	cv yru piu
储金	cv grm
储钱	cv cin
储电量	cv din lxj
俨如	yim yv
允文允武	wrn mrn wrn mou
元宝蜡烛	yvn bou lap zuk
元州村	yvn zru cvn
元朗区	yvn loj kxi
元朗明渠	yvn loj mij kxi
元素符号	yvn sou fu hou
元华	yvn wa
元贝	yvn bui
兄弟姊妹	hij dri zi mui
兄弟姐妹	hij dri ze mui
充份	cuj frn
充充电	cuj cuj din
充大班	cuj dai ban
充大头鬼	cuj dai tru guri
充沛	cuj pui
充阔佬	cuj fut lou
充饥	cuj gei
兆康	siu hoj
兆麟苑	siu lxn yvn
凶徒	huj tou
凶暴	huj bou
先一排	sin yrt pai
先使未来钱	sin sri mei loi cin
先嗰排	sin go pai
